Sigla Mercato;Anno;Mese;Settimana;DataCompleta;Data Prezzo;Prezzo
AL;2011;7;2;02/07/2011;19 luglio 2011;207,5
VR;2011;7;2;02/07/2011;19 luglio 2011;216
TO;2011;7;2;02/07/2011;19 luglio 2011;217,5
PD;2011;7;2;02/07/2011;19 luglio 2011;220,5
TV;2011;7;2;02/07/2011;19 luglio 2011;221
UD;2011;7;2;02/07/2011;19 luglio 2011;222,5
RM;2011;7;2;02/07/2011;19 luglio 2011;222,5
BO;2011;7;2;02/07/2011;19 luglio 2011;225,5
MI;2011;7;2;02/07/2011;19 luglio 2011;227,5
GR;2011;7;2;02/07/2011;19 luglio 2011;232,66
NA;2011;7;2;02/07/2011;19 luglio 2011;
FI;2011;7;3;03/07/2011;26 luglio 2011;182,5
PG;2011;7;3;03/07/2011;26 luglio 2011;203,6
AL;2011;7;3;03/07/2011;26 luglio 2011;207
VR;2011;7;3;03/07/2011;26 luglio 2011;208
PD;2011;7;3;03/07/2011;26 luglio 2011;220
TV;2011;7;3;03/07/2011;26 luglio 2011;221
UD;2011;7;3;03/07/2011;26 luglio 2011;222,5
TO;2011;7;3;03/07/2011;26 luglio 2011;222,5
RM;2011;7;3;03/07/2011;26 luglio 2011;225
BO;2011;7;3;03/07/2011;26 luglio 2011;225,5
MI;2011;7;3;03/07/2011;26 luglio 2011;227,5
GR;2011;7;3;03/07/2011;26 luglio 2011;232,66
NA;2011;7;3;03/07/2011;26 luglio 2011;
PG;2011;7;4;04/07/2011;01 agosto 2011;204,1
AL;2011;7;4;04/07/2011;01 agosto 2011;207,5
VR;2011;7;4;04/07/2011;01 agosto 2011;211
PD;2011;7;4;04/07/2011;01 agosto 2011;220,5
TV;2011;7;4;04/07/2011;01 agosto 2011;221
UD;2011;7;4;04/07/2011;01 agosto 2011;222,5
BO;2011;7;4;04/07/2011;01 agosto 2011;225,5
RM;2011;7;4;04/07/2011;01 agosto 2011;227
MI;2011;7;4;04/07/2011;01 agosto 2011;229,5
GR;2011;7;4;04/07/2011;01 agosto 2011;232,66
TO;2011;7;4;04/07/2011;01 agosto 2011;
FI;2011;7;4;04/07/2011;01 agosto 2011;
NA;2011;7;4;04/07/2011;01 agosto 2011;
FI;2011;8;4;04/08/2011;31 agosto 2011;182,5
PG;2011;8;4;04/08/2011;31 agosto 2011;204,1
AL;2011;8;4;04/08/2011;31 agosto 2011;210,5
VR;2011;8;4;04/08/2011;31 agosto 2011;213
PD;2011;8;4;04/08/2011;31 agosto 2011;220,5
TV;2011;8;4;04/08/2011;31 agosto 2011;221
UD;2011;8;4;04/08/2011;31 agosto 2011;222,5
BO;2011;8;4;04/08/2011;31 agosto 2011;225,5
TO;2011;8;4;04/08/2011;31 agosto 2011;227,5
GR;2011;8;4;04/08/2011;31 agosto 2011;227,66
MI;2011;8;4;04/08/2011;31 agosto 2011;232,5
RM;2011;8;4;04/08/2011;31 agosto 2011;
NA;2011;8;4;04/08/2011;31 agosto 2011;
FI;2011;9;1;01/09/2011;06 settembre 2011;184,5
PG;2011;9;1;01/09/2011;06 settembre 2011;204,1
AL;2011;9;1;01/09/2011;06 settembre 2011;210,5
VR;2011;9;1;01/09/2011;06 settembre 2011;215
TV;2011;9;1;01/09/2011;06 settembre 2011;221
UD;2011;9;1;01/09/2011;06 settembre 2011;222,5
PD;2011;9;1;01/09/2011;06 settembre 2011;222,5
BO;2011;9;1;01/09/2011;06 settembre 2011;227,5
GR;2011;9;1;01/09/2011;06 settembre 2011;227,66
RM;2011;9;1;01/09/2011;06 settembre 2011;230
TO;2011;9;1;01/09/2011;06 settembre 2011;230,5
MI;2011;9;1;01/09/2011;06 settembre 2011;233,5
NA;2011;9;1;01/09/2011;06 settembre 2011;
FI;2011;9;2;02/09/2011;14 settembre 2011;185,5
AL;2011;9;2;02/09/2011;14 settembre 2011;211,5
VR;2011;9;2;02/09/2011;14 settembre 2011;215
UD;2011;9;2;02/09/2011;14 settembre 2011;220,5
TV;2011;9;2;02/09/2011;14 settembre 2011;223,5
BO;2011;9;2;02/09/2011;14 settembre 2011;227,5
GR;2011;9;2;02/09/2011;14 settembre 2011;227,66
RM;2011;9;2;02/09/2011;14 settembre 2011;233
MI;2011;9;2;02/09/2011;14 settembre 2011;234
PG;2011;9;2;02/09/2011;14 settembre 2011;274,6
TO;2011;9;2;02/09/2011;14 settembre 2011;
PD;2011;9;2;02/09/2011;14 settembre 2011;
NA;2011;9;2;02/09/2011;14 settembre 2011;
FI;2011;9;3;03/09/2011;20 settembre 2011;183,5
PG;2011;9;3;03/09/2011;20 settembre 2011;206,6
AL;2011;9;3;03/09/2011;20 settembre 2011;211,5
VR;2011;9;3;03/09/2011;20 settembre 2011;215
UD;2011;9;3;03/09/2011;20 settembre 2011;220,5
PD;2011;9;3;03/09/2011;20 settembre 2011;221
TV;2011;9;3;03/09/2011;20 settembre 2011;223,5
BO;2011;9;3;03/09/2011;20 settembre 2011;224,5
GR;2011;9;3;03/09/2011;20 settembre 2011;227,66
MI;2011;9;3;03/09/2011;20 settembre 2011;233,5
RM;2011;9;3;03/09/2011;20 settembre 2011;235
TO;2011;9;3;03/09/2011;20 settembre 2011;
NA;2011;9;3;03/09/2011;20 settembre 2011;
FI;2011;9;4;04/09/2011;28 settembre 2011;181,5
PG;2011;9;4;04/09/2011;28 settembre 2011;204,6
AL;2011;9;4;04/09/2011;28 settembre 2011;211
VR;2011;9;4;04/09/2011;28 settembre 2011;213
PD;2011;9;4;04/09/2011;28 settembre 2011;217
UD;2011;9;4;04/09/2011;28 settembre 2011;217,5
TV;2011;9;4;04/09/2011;28 settembre 2011;221,5
BO;2011;9;4;04/09/2011;28 settembre 2011;222,5
GR;2011;9;4;04/09/2011;28 settembre 2011;222,66
