Sigla Mercato;Anno;Mese;Settimana;DataCompleta;Prezzo
GR;2012;11;3;03/11/2012;272,66
GR;2012;11;4;04/11/2012;272,66
GR;2012;11;5;05/11/2012;277,66
GR;2012;12;1;01/12/2012;277,66
GR;2012;12;2;02/12/2012;277,66
GR;2012;12;3;03/12/2012;
GR;2013;1;1;01/01/2013;277,66
GR;2013;1;2;02/01/2013;
GR;2013;1;3;03/01/2013;272,66
GR;2013;1;4;04/01/2013;272,66
GR;2013;1;5;05/01/2013;270,66
GR;2013;2;1;01/02/2013;267,66
GR;2013;2;2;02/02/2013;264,16
GR;2013;2;3;03/02/2013;259,16
GR;2013;2;4;04/02/2013;
GR;2013;3;1;01/03/2013;
GR;2013;3;2;02/03/2013;254,16
GR;2013;3;3;03/03/2013;257,16
GR;2013;3;4;04/03/2013;259,16
GR;2013;4;1;01/04/2013;259,16
GR;2013;4;2;02/04/2013;259,16
GR;2013;4;3;03/04/2013;259,16
GR;2013;4;4;04/04/2013;
GR;2013;5;1;01/05/2013;
GR;2013;5;2;02/05/2013;262,66
GR;2013;5;3;03/05/2013;257,66
GR;2013;5;4;04/05/2013;257,66
GR;2013;5;5;05/05/2013;257,66
GR;2013;6;1;01/06/2013;257,66
GR;2013;6;2;02/06/2013;
GR;2013;6;3;03/06/2013;
GR;2013;6;4;04/06/2013;
GR;2013;7;1;01/07/2013;
GR;2013;7;2;02/07/2013;
GR;2013;7;3;03/07/2013;210,16
GR;2013;7;4;04/07/2013;204,16
GR;2013;8;1;01/08/2013;
GR;2013;8;4;04/08/2013;
GR;2013;8;5;05/08/2013;202,66
GR;2013;9;1;01/09/2013;202,66
GR;2013;9;2;02/09/2013;202,66
GR;2013;9;3;03/09/2013;202,66
GR;2013;9;4;04/09/2013;202,66
GR;2013;10;1;01/10/2013;192,66
GR;2013;10;2;02/10/2013;192,66
GR;2013;10;3;03/10/2013;192,66
GR;2013;10;4;04/10/2013;192,66
GR;2013;10;5;05/10/2013;
GR;2013;11;1;01/11/2013;197,66
GR;2013;11;2;02/11/2013;197,66
GR;2013;11;3;03/11/2013;197,66
MI;2011;1;1;01/01/2011;288,5
MI;2011;1;2;02/01/2011;289,5
MI;2011;1;3;03/01/2011;292,5
MI;2011;1;4;04/01/2011;296,5
MI;2011;2;1;01/02/2011;299,5
MI;2011;2;2;02/02/2011;299,5
MI;2011;2;3;03/02/2011;302,5
MI;2011;2;4;04/02/2011;300,5
MI;2011;3;1;01/03/2011;295,5
MI;2011;3;2;02/03/2011;288,5
MI;2011;3;3;03/03/2011;268,5
MI;2011;3;4;04/03/2011;268,5
MI;2011;3;5;05/03/2011;272,5
MI;2011;4;1;01/04/2011;279,5
MI;2011;4;2;02/04/2011;279,5
MI;2011;4;3;03/04/2011;279,5
MI;2011;4;4;04/04/2011;283,5
MI;2011;5;1;01/05/2011;280,5
MI;2011;5;2;02/05/2011;
MI;2011;5;3;03/05/2011;273
MI;2011;5;4;04/05/2011;282,5
MI;2011;6;1;01/06/2011;282,5
MI;2011;6;2;02/06/2011;182,5
MI;2011;6;3;03/06/2011;
MI;2011;6;4;04/06/2011;
MI;2011;6;5;05/06/2011;227,5
MI;2011;7;1;01/07/2011;227,5
MI;2011;7;2;02/07/2011;227,5
MI;2011;7;3;03/07/2011;227,5
MI;2011;7;4;04/07/2011;229,5
MI;2011;8;4;04/08/2011;232,5
MI;2011;9;1;01/09/2011;233,5
MI;2011;9;2;02/09/2011;234
MI;2011;9;3;03/09/2011;233,5
MI;2011;9;4;04/09/2011;231,5
MI;2011;9;5;05/09/2011;229,5
